	Molecule Type	Target genes	count	z-score	Direction
15d-PGJ2	chemical - endogenous non-mammalian	ACTA2, ADAMTS4, AGTR1, BAK1, BAX, BCL2, BCL2L1, BECN1, BGLAP, BIRC2, BIRC3, BIRC5, BRCA1, CASP3, CASP9, CAV2, CCL2, CCL3, CCL5, CCNB1, CCND1, CCND2, CCNG1, CD200, CD36, CDC25C, CDK2, CDK4, CDKN1A, CEBPD, CFLAR, CIITA, COL1A1, COL1A2, CPT1B, CTGF, CTSB, CTSD, CXCL10, CXCL11, CXCL13, CXCL8, CXCL9, CYBB, CYP19A1, DDIT3, DDX58, DGKA, DNAJB1, E2F1, E2F2, E2F4, EGR1, ESR1, FABP2, FABP4, FASLG, FKBP4, FLT1, FN1, FOS, FTH1, GADD45A, GCLC, GCLM, GDF15, GSN, GSR, GSTP1, HGF, HLA-DRA, HMOX1, HSPB1, HTRA3, ICAM1, IFNG, IL10, IL1A, IL1B, IL2, IL4, IL5, IL6, IRF1, ITGAM, JUNCFLAR, JUN, KDR, KLF4, KLK3, LAMP1, MAP1LC3B, MAPK14, MCL1, MMP1, MMP13, MMP3, MMP9, MPO, MSR1, MUC1, MXD1, MYB, MYC, MYH11, MYOD1, MYOG, NFE2L2, NFKB1, NFKBIA, NFKBIB, NOS2, NOS3, NOX1, NOX4, NQO1	116.0	-2.5155000000000003	repressed
4-OHT	chemical drug	ABCC11,ABCG2,ACACA,ACKR3,ACOX1,ACTC1,ADM,ADORA1,AHNAK,AKAP1,AMBP,ANG,ANGPTL2,AP4M1,APOA4,AQP1,AQP3,AQP9,AREG,ASAH1,ASS1,AVP,BAX,BCL2,BCL2L1,BDNF,BECN1,BIRC5,BMP2,BMP4,BMP5,BRCA1,C10orf10,C3,CA2,CAT,CAV1,CAV2,CCDC80,CCL15,CCNA1,CCNA2,CCND1,CD55,CDCA7,CDH1,CDH11,CDH2,CDK2,CDK6,CDKN1A,CDKN1B,CEBPA,CEBPB,CEBPD,CHST2,CLDN4,CLIC3,CLU,CNBP,COL11A1,COL16A1,CPE,CRYZ,CSAD,CSHL1,CTSD,CUZD1,CXCL8,CYP11B1,CYP19A1,CYP2B6,CYP2E1,CYP2F1,CYP3A4,CYP3A5,CYP7A1,CYR61,DCC,DDIT4,DDX21,DECR1,DLK1,DUSP9,DYNLL1,E2F4,EFEMP1,EGFR,EIF5A,EPHA1,EPHA4,EPHX1,EPOR,ERBB2,ERBB3,ERBB4,ESR1,ESR2,ESRRA,ETV4,ETV5,F13A1,F2R,FABP1,FABP4,FADD,FADS1,FADS2,FASLG,FASN,FGFR1,FHL2,FLOT1,FNDC4,FOS,FOSL2,FOXA1,FOXO1,FSHB,G0S2,GABBR2,GAP43,GAPDH,GCK,GDF15,GDPD3,GH1,GJB2,GLRX,GM2A,GNRHR,GPATCH3,GPER1,GREB1,GSTA1,GSTA5,HAS2,HDGF,HEBP1,HES1,HGF,HMGCR,HMGCS1,HOXB7,HOXD11,HPN,HSD17B7,HSP90AB1,HSP90B1,HTR1A,IER3,IFNG,IGF1,IGF1R,IGF2,IGFBP1,IGFBP3,IGFBP4,IL10,IL1RN,IL4,IL5,IL6,IL7R,INPPL1,IRF1,IRS1,ISG20,IVL,JUN,JUNB,JUNBABCB11,JUNBCHST2,KLRC4,KLRC4-KLRK1/KLRK1,KRT13,KRT19,LOR,MAP2K1,MAPK14,MINA,MINOS1-NBL1/NBL1,MKI67,MPC1,MYC,NCOA1,NCOA3,NCOR2,NEDD9,NOTCH3,NOV,NRF1,NRF1GABBR2,OGT,PAK6,PDCD5,PDK4,PDLIM3,PDZK1,PGR,PMAIP1,POLD4,PPARA,PPP5C,PRKCH,PRL,PRSS23,PTGER2,PTGS2,PTPN11,PTPRH,PTPRS,PTTG1,RAI2,RAMP3,RARA,RB1,RBL1,RBL2,RBP4,RCC1,RERG,RGS19,RHOBTB2,RPS6KA4,S100G,SALL1,SAMD11,SCD,SCN1B,SCTR,SCUBE2,SDC3,SDS,SELE,SEMA3B,SERPINA3,SERPINA6,SHC1,SLC1A1,SLC1A2,SLC2A3,SLC5A3,SLC7A2,SLC7A5,SLC9A3,SLC9A3R1,SMAD3,SMAD7,SNAI1,SOD2,SOST,SOX9,SPP1,SQSTM1,SSTR2,SULT2A1,SYNE1,SYT6,TACC1,TAGLN,TDO2,TERT,TFF1,TGFA,TGFBR2,TLR4,TNF,TP53,TSPAN9,TXN,TYMP,UCP2,UGCG,USP1,VDR,VEGFA,WIPI1,YPEL3,ZEB2ABCB11,ABCB1,ABCB11	282.0	2.6056666666666666	induced
AGER	transmembrane receptor	AGER, APAF1, APP, ARG1, BACE1, BCL2, CALCR, CCL2, CCL3, CCL3L3, CCL4, CCND1, CD40LG, CDKN1A, CHGA, CHGB, CKM, COL4A1, CSF1, CTNNB1, CTSK, CXCL3, CXCL8, EGR1, F3, FAS, FLT1, ICAM1, IFIT1, IL1B, IL22, IL4R, IL6AGER, TGFB1, TJP1, TNC, TNF, TP53, TUBB3, TXNIP, VCAM1, VEGFA	42.0	2.7489999999999997	induced
AHR	ligand-dependent nuclear receptor	A2M, ABCB6, ABCC4, ABCG2, ACOX1, ACTA2, ACTL6A, ACTN1, ADAM19, ADAMTS2, ADAMTS5, ADIPOR2, ADM, AHRR, AKR1A1, ALB, ALDH1B1, ALDH2, ALDH3A1, APAF1, APH1B, APP, AREG, ARG2, ARNT, ASPN, ATOH8, ATP2B1, ATP4A, BAX, BTG2, BZW2, CADM4, CAMK2N1, CAMK2N2, CASP8, CBR1, CBR3, CCL1, CCL21, CCL5, CCNA2, CCNB1, CCND1, CCND3, CCNE1, CCNF, CCNG2, CD36, CD38, CDC25B, CDC25C, CDH1, CDH2, CDK1, CDK2, CDK4, CDKN1A, CDKN1B, CDKN2A, CDKN2B, CDKN2C, CDKN2D, CEBPA, CELA1, CGREF1, CHD7, CHST2, COL11A1, COL12A1, COL13A1, COL14A1, COL16A1, COL1A1, COL1A2, COL27A1, COL3A1, COL4A1, COL4A2, COL5A1, COL5A2, COL6A1, COL6A3, COL9A3, COLQ, COX8A, CRP, CTNNB1, CTSD, CXCL10, CYP1A1, CYP1A2, CYP1B1, CYP2A6 (includes others), CYP2B6, CYP2C8, CYP2S1, CYP3A4, SNAI1, SNAI2, SNTA1, SOD1, SOD2, SPP1, STAT3, STEAP4, SYT12, TFF3, TGFB1, TGFB2, TGFB3, TGFBI, TGFBR2, TH, THBS1, TIMP2, TIMP3, TIPARP, TK1, TNF, TNFAIP8L1, TNFRSF19, TP53, TP73, TSPYL2, TUBA8, TXN, VCL, VEGFA, VEGFC, VIMA2M, PI4K2A, PJA1, PKLR, PLA2G12A, PLAT, PLK1, PLXNA2, PMM1, POLA1, POMP, POU5F1, PPARG, PPP1R15A, PRL, PTGS2, RBL1, RBP1, RDH16, RNGTT, RORC, SAA1, SDC1, SDR9C7, SDSL, SEMA3A, SEMA3F, SERPINA12, SERPINA7, SERPINB2, SERPINE1, SHB, SIM1, SIRT1, SLC16A10, SLC16A5, SLC17A2, SLC1A1, SLC1A4, SLC22A7, SLC25A51	171.0	0.0	
AKT	kinase	ACAT2,ACLY,ACTA2,ADIPOQ,ADM,AIP,AKR1B10,AKR1C1/AKR1C2,AKT1,ANGPT1,ANKH,ANKRD1,ANKRD2,APOC3,AQP3,AR,ASS1,ATF4,ATG12,ATG7,ATP5A1,AURKB,B4GALT5,BAD,BAK1,BAX,BCL2,BCL2A1,BCL2L1,BCL2L11,BHLHE40,BID,BIRC2,BIRC3,BIRC5,BMF,BMP2,BRCA1,C1QC,CASP3,CAV3,CCL2,CCL5,CCND1,CCND2,CCND3,CCNE1,CCR7,CD274,CD36,CD4,CD40,CD69,CD74,CD86,CDH1,CDK2,CDK4,CDKN1A,CDKN1B,CDKN1C,CEBPD,CFLAR,CIDEA,CISH,CKS2,COL3A1,COL4A1,COL8A1,COPS6,COX4I1,CP,CPT1A,CSF2,CSN2,CST3,CTGF,CTNNB1,CTSD,CTSV,CXCL10,CXCL12,CXCL8,CXCR3,CXCR4,CYP19A1,CYP7A1,DHCR7,DLG4,DLL4,DLX3,E2F1,E2F2,E2F4,EBP,EGFR,EGR1,EGR2,ELK1,EP300,EPAS1,EPO,ERBB3,ESR1,ETS1,F3,FABP4,FABP5,FAS,FASLG,FASN,FBXO32,FGF2,FHIT,FN1,FOS,FOSB,FOSL1,FOXM1,FOXO1,FOXO3,FOXP3,FSTL1,FXYD5,G6PC,GATA2,GCK,GCLC,GCLM,GDF15,GLI1,GLI2,GOSR2,GSK3B,GSTA5,GSTM5,HES1,HIF1A,HIF3A,HIPK3,HK2,HMGB2,HMGCR,HMGCS1,HMOX1,HNRNPL,HPGD,HUNK,IER3,IFNB1,IFNG,IGF1,IGF1R,IGF2,IGFBP1,IGFBP2,IGFBP5,IL10,IL12A,IL12B,IL13,IL17A,IL17F,IL1B,IL2,IL22,IL27,IL2RB,IL32,IL4,IL5,IL6,IL7R,INSR,IRS1,IRS2,ITGB1,JUN,JUNCFLAR,JUND,JUNDCFLAR,KCNA5,KDR,KISS1,KL,KLF15,LAMA1,LAMB1,LCN2,LEF1,LEP,LHCGR,LIPA,LMNA,LPL,LSS,MAP2,MATR3,MBP,MCAM,MCL1,MDM2,ME1,MEPE,MMP14,MMP2,MMP9,MSMO1,MSR1,MSTN,MT2A,MUC1,MUT,MYB,MYC,MYH11,MYL1,MYOCD,MYOG,NDC80,NDRG1,NDUFV1,NEXN,NFATC1,NFATC2,NFE2L2,NFKB1,NFKB2,NOS1,NOS2,NOTCH1,NOX4,NPPA,NQO1,NQO1FXYD5,NR0B2,NRF1,NRP2,NRP2GATA2,OSTF1,PCK1,PCNA,PCOLCE,PDGFRA,PDGFRB,PDK4,PDX1,PEA15,PEX11A,PGR,PHLDA1,PIK3R1,PLG,PLP1,PMAIP1,POU5F1,PPARA,PPARD,PPARG,PPARGC1A,PPP1R1B,PRKAR1A,PRL,PTGER2,PTGER4,PTGS1,PTGS2,PTN,PTX3,RAB11A,RAD51,RAMP1,RAMP3,RB1,RELA,REN,RFC4,RHOB,RHOBA2M,RHOBABCB1,RRM2,RUNX2,SCARB1,SCD,SEMA6D,SERPINE1,SERPINF1,SHH,SHOX2,SIRT6,SIVA1,SKP2,SLC1A2,SLC2A1,SLC2A4,SLC3A2,SLC4A7,SLC5A5,SLC8A1,SNAI1,SNAI2,SOCS3,SOD2,SOX2,SPP1,SREBF1,SREBF2,SRF,STUB1,SYT1,A2M,ABCB1	312.0	4.073333333333333	induced
ANGPT2	growth factor	ABCC1, ACTA1, ADA, ADAM12, AGTR1, APIP, ARHGEF2, ARL4C, ASPHD1, AXIN2, BAG1, BCL2, BCL2L11, BCR, C1R, CALR, CASP3, CAT, CCL3L3, CCL5, CCT7, CD68, CDC27, CDC34, CDKN1A, CEBPB, CFB, COL1A1, COL1A2, COL3A1, COMT, CRH, CRYAA/LOC102724652, CRYAB, CRYBB3, CRYGC, CWC22, CYBA, CYP11B2, DBNL, DDIT3, DNAJB4, DNASE1, EDN1, EEF1B2, EFR3A, EGFR, EIF1, EPHX2, ETS1, EXT2, FAS, FEN1, FGF7, FKBP10, FKBP2, FKBP4, FN1, GATA4, GATA6, GSK3B, HDAC2, HDAC4, HDAC5, HIF1A, HMGCS1, HMOX1, HSP90AA1, HSPA1A/HSPA1B, HSPA2, HSPA4, HSPA5, HSPB2, HSPD1, ICAM1, IL1B, IL6, INPP5F, JMJD6CFB, JMJD6, KDM6B, KIF1C, KLF5, KPNA2, LARP4, LEP, LEPR, LIG4, LMNB2, LYN, MAP2K1, MAP4K5, MAPK10, MAPK12, MFGE8, MGMT, MGST1, MIF, MMP1, MMP2, MMP7, MMP9, MYH6, MYH7, MYOD1, MYOG, NCF1, NDE1, NME1, NOS3, NOX1, NOX4, NPPAGATA4, NPPA, OLR1, P4HB, PDCD4, PDGFRB, PDIA3, PDIA5, PDIA6, PGAP1, PHLDA1, PLAU, POLA1, POLD1, POSTN, PROS1, PTGES, PTGS2, PTHLH, RAD21, RBM14, RCAN1, RDH10, RFC1, RFC2, RFC4, RHOB, RPA2, RPA3, RPS6LYN, RPS6, SERPINE1, SERPING1, SMYD5, SNAI1, SOCS7, SOD1, SOD2, SOD3, SPTLC3, SRXN1, ST13, STK17A, TCN2, TEK, TGFBR2, THBS1, THBS2, TLR3, TMEM41B, TNFRSF10B, TNFRSF12A, TNFSF11, TNIK, TOP1, TOR1AIP2, TP53	169.0	5.55575	induced
AR	ligand-dependent nuclear receptor	ABCA1, ABCC4, ABCG1, ACBD7, ACPP, ACTA1, ACTR3, ADCYAP1, ADGRA3, ADM, AK3, AKR1C3, AKT1, ALDH1A1, ALOX15B, AMBRA1, AMD1, AMH, AMHR2, AQP3, AQP8, AR, ARHGEF7, ARMC12, ARMCX2, ATAD2, ATP13A4, ATP1A3, ATP2A2, ATP4A, AVPR1A, AZGP1, BASP1, BIRC5, BMF, BMP15, BMPR2, BUB1, BUB1B, C3, C4A/C4B, CA4, CA7, CACNA1A, CACNA1C, CALCB, CALU, CAMK2A, CAMKK2, CAPZA3, CASQ2, CAST, CAV1, CAV2, CCDC85B, CCL3L3, CCNA1, CCNA2, CCND1, CDC25B, CDC25C, CDCA5, CDH1, CDH11, CDH2, CDK14, CDKN1A, CDT1, CEND1, CENPE, CFLAR, CGA, CHTF18, CIT, CKAP4, CLCN1, CLDN11, CLDN3, CLGN, COL3A1, CRISP1, CSRP3, CTNNB1, CTSO, CUX1, CUX2, CXCL12, CYC1, CYP11A1, CYP17A1, DAPL1, DBI, DCTPP1, DDT, DEGS1, DEPDC1, DES, DHCR24, DHCR7, DHH, DISP2, DNAJB9, DNM1L, DYRK1A, EBP, EDN1, EDNRA, EDNRB, EGFR, EGR1, EHD3, EIF2B5, ELK4, ELMO1, ELOVL2, EMB, ENO2, EPAS1, EPB41L4B, EPHX1, EPPIN, ERBB2, ERBB3, ERN1, ESPL1, ESPN, ETV1, F9, FABP5, FAM174B, FAM89B, FEN1, FGF10, FGF7, FGF8, FGFR2, FKBP4, FKBP5, FOXA1, FSHR, FXYD3, GATA1, GDF15, GDF9, GDI1, GDNF, GFAP, GJA1, GLCCI1, GPR182, GPX5, GSN, GSTM1, GSTP1, GUCY1A3, GUSB, HGF, HMGCR, HSD17B3, HSD3B1, HSD3B2, HSPA5, HSPH1, IGF1, IGF1R, IGF2, IGFBP3, IGFBP5, IL1R1, IL6, IMPDH2, INHA, INPP4B, INSL3, ITGA2, ITGA6, ITGB4CFLAR, ITGB4, KCNA1, KCNJ2, KCNJ3, KCNQ1, KDELR2, KDM4B, KIF15, KIF22, KIF2C, KISS1R, KITLG, KLK2, KLK3, KLKB1, KNTC1, KPNA2, KRT14, LAMA5, LAMC3, LHCGR, LMAN1, LMOD1, LRRK1, MAD2L1, MAD2L2, MAOA, MCM2, MCM4, MME, MRAS, MSI1, MSMB, MSMO1, MSTN, MT1X, MTA2, MTHFD2, MUC1, MYC, MYH6, MYL3, MYO1B, MYOD1, MYOG, NAP1L1, NCOA4, NDRG1, NEK2, NGFR, NKX3-1, NMRK2, NOTCH1, NPC1, NR0B1, NR3C1, NR5A1, NTF4, NUPR1, NUSAP1ABCA1, SLC38A5, SLC39A8, SLC43A1, SLC45A3, SLCO3A1, SMAD3, SMARCC1, SMTN, SNAI1, SNAI2, SORD, SOX9, SPINK1, SPO11, SRD5A1, SRD5A2, SRY, STAR, STAT1, STEAP2, STK39, SULT1E1, SULT2A1, TACC2, TACSTD2, TAT, TBXAS1, TCF19, TEAD3, TF, TFF1, TFF3, TGFB1, TGFB2, TGFBR2, THBS1, TJP1, TMEM158, TMPRSS2, TNF, TNFAIP2, TNFRSF12A, TNFSF11, TNFSF12, TNNT2, TP63, TPD52, TPD52L1, TPX2, TRIM25, TRMT12, TSPAN8, TUBB3, TWIST1, UBE2C, UGT2B28, VCAN, VCL, VEGFA, VIM, VIP, VSNL1, WEE1, WIPF1, WT1, XBP1, ZBTB16, ZWINT, ZYXABCA1, PGR, PIAS3, PIGA, PIGR, PIP, PKMYT1, PLAT, PLAU, PLK1, PLOD2, PLS3, PMAIP1, PMEPA1, PNMT, POMC, POMT2, POU5F2, PRKCA, PRKCD, PROS1, PSCA, PTCH1, PTEN, PTGDS, PTGS1, PTHLH, RAB3C, RARRES1, RASSF3, REN, RHBG, RHOB, RLN1, RP2, S1PR3, SCAP, SCEL, SCN4A, SEC61B, SERP1, SERPINB5, SERPINE1, SGK1, SHBG, SKP2, SLC26A7, SLC2A3, SLC7A11, SLC7A4	355.0	6.179	induced
ARNT	transcription regulator	ADAM17, ADM, AHR, AKT2, ALDH3A1, ALDH7A1, ALDOA, ALDOC, AREG, ATP5G1, ATP5O, BHLHE40, BHLHE41, BNIP3, CAV1, CCND2, CCR5, CCR7, CD81, CDK4, CITED2, COX6B1, CSF3, CTSD, CXCR3, CXCR4, CYP1A1, CYP1A2, CYP1B1, CYP2A6 (includes others), CYP2S1, DEGS1, DEGS2, DNAJC2, EDN1, EIF6, ENG, ENO1, EPAS1, EPO, ESRRG, FLT1, FURIN, G6PC, G6PD, GAPDH, GAS1, GPI, GSTA1, GZMH, HES6, HGF, HIF1A, HK2, HNF1A, HNF4A, ID2, IL10, INSR, IRS2, ITGAV, ITGB3CITED2, ITGB3, KIF20A, LDHA, LEP, MPP1, MYL6, MYO1C, NDUFS2, NDUFS3, NDUFS4, NOS3, NQO1, OAZ1	75.0	3.8600000000000003	induced
ARNT2	transcription regulator	ABCG1, ABI1, ADAM28, AGER, AKR1B1, ALAS2, ANG, ANGPT2, ANGPTL4, AOX1, APOA5, APOC4, APOE, AQP4, AQP7, ARID1A, ARNT2, BAG6, BPIFA2, BST1, CACNG1, CALB2, CAMLG, CASC3, CBFB, CCR1, CCS, CD86, CDH3, CELF2, CFL2, CHRM4, CHRNE, CLCN1, CMC4, CMKLR1, CNOT7, COL11A1, COL12A1, COPZ2, CPXM2, CRISP2, CRYGD, CXCR5, CYBA, DLL1, DNASE1, EGF, EGFR, EGR1, EIF5A, ELK4, ELL2, EYA1, FCGR2A, FGF17, FHIT, FIGLA, FKBP3, FNBP1, FOXH1, GABRA6, GALNT4, GATA2, GDNF, GLI1, GLUL, GMCL1, GPX3, GRIN1, GRM8, GSTA3, GTF3A, GUCY2C, GZMH, HGFAC, HLA-A, HOMER1, ICAM1, ICMT, IFI16, IFNA4, IGFBP4, IL5, IL6R, ITGB3, ITIH3, JAK2CFL2, JAK2, KCNE5, KCNJ15, KCNQ1, KLK3, KRT5, LAMA2, LAMB3, LCAT, LCP1, LDB2, LHX8, LIFR, LRRFIP1, LTF, MC3R, MCM7, MDM4, MRPL37, MSC, MTPN, MYCL, MYH6, MYH7, NAALAD2, NACA, NAP1L4, NDUFA1, NFATC2, NFE2, NGEF, NKX6-2, NMBR, NR5A1, NUDC, OAZ1	124.0	9.5095	induced
ATF2	transcription regulator	ACTB, ANGPTL2, APOC3, ARNT, ASNS, ATF3, BCKDHA, BCL2, BCL2A1, CCL26, CCNA2, CCND1, CD79A, CDKN2A, CGA, COL24A1, CTNNB1, CXCL8, DDIT3, DUSP1, DUSP10, DUSP5, DUSP8, EGR1, ENTPD1, FASLG, FN1, FOS, GADD45A, GIP, IFNB1, IFNG, IL10, IL13, IL2, IL23A, IL6, ITGB8, JUNCGA, JUN, MAPK14, MAT2A, MCL1, MEIS2, MMP1, MMP13, MT2A, MYH7, MYLK, NOS2, NOTCH1, NPPA, NPPB, NTS, NUPR1GADD45A, NUPR1, PCK1, PDGFRA, PENK, PGLYRP2, PLA2G4A, PLAU, PPARG, PPARGC1A, PSEN1, PTEN, PTGS2, RELA, RHOBMAPK14, RHOB, SERPINB5, SNAI2, SOD2, SST, SULT4A1, TGFB2, TH, TNF	78.0	4.425750000000001	induced
